no,lat,lon,pref,state,category,id,name,indoor,opened,closed,patients,H,voice,loud,acph
48,43.068962,141.359466,北海道,札幌市,福祉施設,4,市27例目の障害福祉事業所,1,2020/10/9,,5,1,0,0,
49,43.053817,141.355368,北海道,札幌市,ニュークラブ,2,市29例目のススキノ関連,1,2020/10/11,,16,0,1,0,
50,43.067175,141.341656,北海道,札幌市,専門学校,10,市30例目の専門学校,1,2020/10/11,2020/10/20,13,0,0,0,
51,43.033913,141.361788,北海道,札幌市,中学校,7,中の島中学校,1,2020/10/12,,1,0,1,0,
52,43.054127,141.348784,北海道,札幌市,飲食店,1,市31例のバー,1,2020/10/14,,8,0,1,0,
53,42.729182,141.575097,北海道,胆振,事業所,3,清掃関係事業所(道48例目),1,2020/10/14,,6,0,0,0,
54,42.994972,142.009022,北海道,夕張市,消防署,14,夕張市消防本部(道49例目),1,2020/10/15,,7,0,0,0,
55,42.343646,142.365445,北海道,新ひだか町,高校,8,静内高校(道50例目),1,2020/10/15,,22,0,1,0,
56,43.075763,141.320477,北海道,札幌市,福祉施設,4,市32例の有料老人ホーム,1,2020/10/17,,6,1,0,0,
57,43.051628,141.353551,北海道,札幌市,ニュークラブ,2,市33例のススキノ関連,1,2020/10/17,,13,0,1,0,
58,43.055908,141.353465,北海道,釧路市,ニュークラブ,2,ニュークラブ(53例目),1,2020/10/17,,5,0,1,0,
59,42.999641,144.360072,北海道,釧路市,福祉施設,4,特別養護老人ホーム(道53例目),1,2020/10/20,,14,1,0,0,
60,42.991069,144.383931,北海道,釧路市,飲食店,2,接待を伴う飲食店(道56例目),1,2020/10/20,,5,0,1,0,
61,43.175155,141.026885,北海道,小樽市,高校,8,小樽水産高校,1,2020/10/20,,2,0,1,0,
62,43.055235,141.352077,北海道,札幌市,ホストクラブ,2,ホストクラブ(55例目),1,2020/10/23,,5,0,1,0,
63,43.054781,141.354674,北海道,札幌市,メンズパブ,2,メンズパブ(56例目),1,2020/10/23,,6,0,1,0,
64,43.06906,141.365519,北海道,札幌市,福祉施設,4,グループホーム,1,2020/10/23,,5,1,0,0,
65,43.066395,141.350413,北海道,道内,バスツアー,3,読売旅行(GoToトラベル),1,2020/10/23,,12,0,0,0,
66,43.056769,141.351658,北海道,札幌市,ニュークラブ,2,ニュークラブ(58例目),1,2020/10/24,,6,0,1,0,
67,42.916677,143.2021,北海道,帯広市,事業所,3,帯広市図書館,1,2020/10/24,,3,0,1,0,
68,42.992911,141.45721,北海道,札幌市,小学校,6,清田区平岡南小学校,1,2020/10/24,,1,0,1,0,
69,43.056777,141.350944,北海道,札幌市,スナック,2,スナック(59例目),1,2020/10/25,,6,0,1,0,
70,43.089712,141.383368,北海道,札幌市,小学校,6,札幌市立開成小学校,1,2020/10/25,,1,0,1,0,
71,43.057488,141.355321,北海道,札幌市,事業所,3,芸能事務所『野外ライブイベント』,1,2020/10/26,,14,0,1,1,
72,43.048562,141.372317,北海道,札幌市,小学校,6,札幌市立豊平小学校,1,2020/10/26,,1,0,1,0,
73,43.065231,141.351377,北海道,札幌市,事業所,3,市43例目の商社,1,2020/10/30,,5,0,0,0,
74,43.066391,141.350561,北海道,札幌市,事業所,3,市44例目の結婚式場,1,2020/10/30,,9,0,1,0,
75,42.662323,141.608625,北海道,苫小牧市,高校,8,道立苫小牧工業高校,1,2020/10/30,,16,0,1,1,
76,43.062468,141.641864,北海道,空知地方,福祉施設,4,道71例目のグループホーム,1,2020/10/31,,5,1,0,0,
77,43.179923,141.018417,北海道,小樽市,中学校,7,小樽市立潮見台中学校,1,2020/10/31,,1,0,1,0,
78,43.082661,141.307689,北海道,札幌市,事業所,3,市47例目の食品関連会社,1,2020/11/1,,8,0,0,0,
79,42.998512,141.336876,北海道,札幌市,高校,8,藻岩高校,1,2020/11/1,,1,0,1,0,
80,43.154184,141.349916,北海道,札幌市,高校,8,豊明高等支援学校,1,2020/11/1,,1,0,1,0,
81,42.834587,141.69802,北海道,千歳市,自衛隊,12,陸上自衛隊東千歳駐屯地,1,2020/10/10,2020/10/23,6,0,1,0,
82,42.834587,141.70802,北海道,千歳市,自衛隊,12,陸上自衛隊東千歳駐屯地,1,2020/11/2,,5,0,1,0,
83,43.055453,141.333399,北海道,札幌市,医療機関,5,札幌医科大学附属病院,1,2020/11/5,,4,1,0,0,
84,43.036716,141.47113,北海道,札幌市,事業所,3,厚別郵便局,1,2020/11/6,,1,0,0,0,
